Année,Champion Masculin,Champion Féminin
['\xa0'],,
['2025'],['Rennes Etudiants Club'],['St-Dié des Vosges VB']
['2024'],['Avignon VB'],['St-Dié des Vosges VB']
['2023'],['Conflans-Andrésy-Jouy VB'],['UGS Bordeaux-Mérignac Volley']
['2022'],['VC Michelet Halluin'],['Istres Provence Volley']
['2021'],['* -'],['* -']
['2020'],['* -'],['* -']
['2019'],['ASUL Lyon VB'],['Terville Florange Olympique']
['2018'],['AS Illac'],['M.O. Mougins']
['2017'],['Mende Volley Lozère'],['VBC Chamalières']
['2016'],['A.S. Orange Nassau'],['M.O. Mougins']
['2015'],['St-Brieuc CAVB'],['SES Calais']
['2014'],['Stade Poitevin Volley Beach'],['St-Raphaël Var VB']
['2013'],['FL St-Quentin VB'],['Terville Florange Olympique']
