Année,Champion Masculin,Champion Féminin
['\xa0'],,
['2025'],['Tourcoing VB Lille Métropole'],['Volley Mulhouse Alsace']
['2024'],['Nantes-Rézé Métropole Volley'],['Neptunes de Nantes']
['2023'],['Tours Volley-Ball'],['Béziers Volley-Ball']
['2022'],['Chaumont VB 52 Haute-Marne'],['Volero Le Cannet']
['2021'],['-'],['ASPTT Mulhouse']
['2020'],['Stade Poitevin Volley Beach'],"[""Pays d'Aix Venelles VB""]"
['2019'],['Tours Volley-Ball'],['St-Raphaël Var VB']
['2018'],['Tourcoing VB Lille Métropole'],['RC Cannes']
['2017'],['G.F.C. Ajaccio'],"[""Pays d'Aix Venelles VB""]"
['2016'],['G.F.C. Ajaccio'],['RC Cannes']
['2015'],['Tours Volley-Ball'],['ES Cannet-Rocheville VB']
['2014'],['Tours Volley-Ball'],['RC Cannes']
['2013'],['Tours Volley-Ball'],['RC Cannes']
['2012'],['Rennes Volley 35'],['RC Cannes']
['2011'],['Tours Volley-Ball'],['RC Cannes']
['2010'],['Tours Volley-Ball'],['RC Cannes']
['2009'],['Tours Volley-Ball'],['RC Cannes']
['2008'],['Beauvais Oise U.C.'],['RC Cannes']
['2007'],['AS Cannes'],['RC Cannes']
['2006'],['Tours Volley-Ball'],['RC Cannes']
['2005'],['Tours Volley-Ball'],['RC Cannes']
['2004'],['Paris Volley'],['RC Cannes']
['2003'],['Tours Volley-Ball'],['RC Cannes']
['2002'],['Stade Poitevin'],['RC Villebon 91']
['2001'],['Paris Volley'],['RC Cannes']
['2000'],['Paris Volley'],['RC Cannes']
['1999'],['Paris Volley'],['RC Cannes']
['1998'],['AS Cannes'],['RC Cannes']
['1997'],['Paris UC'],['RC Cannes']
['1996'],['Stade Poitevin'],['RC Cannes']
['1995'],['AS Cannes'],['VBC Riom']
['1994'],['PSG Asnières'],['SES Calais']
['1993'],['AS Cannes'],['Racing Club de France']
['1992'],['AS Fréjus Var VB'],['Racing Club de France']
['1991'],['AS Fréjus Var VB'],['VBC Riom']
['1990'],['JSA Bordeaux'],['Racing Club de France']
['1989'],['AS Fréjus VB'],['-']
['1988'],['Arago Sète'],['Racing Club de France']
['1987'],['AMSL Fréjus'],['CSM Clamart']
['1986'],['AMSL Fréjus'],['CSM Clamart']
['1985'],['AS Cannes'],['-']
['1984'],['Asnières Sports'],['-']
