nom,prenom,poste,age,taille,poids,club,ville_naissance,photo_url,biographie
Barthélémy,Chinenyeze,Central,27,204 cm,81 kg,puis le CNVB,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,"Devenu un atout pour l'équipe de France, le central longiligne joue l'intégralité des matchs de poule aux Jeux de Tokyo, remportés par les Bleus."
Jenia,Grebennikov,Libéro,35,188 cm,85 kg,Modène Volley Trentino Volley POIDS 85 kg JENIA GREBENNIKOV 2024 HAUTEUR ATTAQUE 345 cm HAUTEUR BLOCK 300 cm Médaille d,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,"Ancien hockeyeur, c'est à Rennes que le libéro d'origine russe débute sa carrière à l'âge de 18 ans."
Jean,Patry,Attaquant,29,207 cm,94 kg,Jakarta Bhayangkara Presisi JEAN PATRY NAISSANCE 27,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,"Compétiteur dans l'âme, son expérience italienne lui permet de s'affirmer en équipe de France."
Kevin,Tillie,Réceptionneur,35,198 cm,75 kg,or de la Volleyball Nations League 2021 Médaille d,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,"Des États-Unis à la Chine, il évolue successivement dans un grand nombre de clubs, ce qui lui permet de se forger une expérience solide."
Earvin,Ngapeth,Réceptionneur,34,194 cm,93 kg,décerné par la FIVB,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/9%20Earvin%20Ngapeth.png,"Francevolley EARVIN NGAPETH NAISSANCE 12/02/1991 St-Raphaël (83) Considéré comme la star des Bleus, Earvin Ngapeth débute sa carrière de volleyeur dans le club de Tours, entraîné par son père."
Antoine,Brizard,Passeur,31,,,année 2021 par la FIVB,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/11%20Antoine%20Brizard.png,
Nicolas,Le Goff,Central,33,206 cm,97 kg,il passe par le Pôle Espoirs et le CNVB,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/14%20Nicolas%20Le%20Goff.png,
Trevor,Clevenot,Réceptionneur,31,199 cm,89 kg,or Volleyball Nations League avant de s,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,
Yacine,Louati,,,,,,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/19%20Yacine%20Louati.png,
Théo,Faure,,26,202 cm,84 kg,or Volleyball Nations League Vainqueur et MVP de la Super Coupe de France Vainqueur du Championnat de France 2020,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,"En 2023, il participe à la VNL avec l'équipe de France senior, puis un seconde fois en 2024 où il décroche la médaille d'or."
Timothee,Carle,Réceptionneur,30,,,Ffrancevolley Après deux ans au CNVB,,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,"En 2024, il ajoute un titre majeur à son palmarès en remportant la VNL avec l’équipe de France."
Quentin,Jouffroy,Central,32,202 cm,100 kg,DE Le Plessis,Grenoble,http://www.ffvb.org/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,"Originaire de Grenoble, Quentin Jouffroy débute sa carrière à l'ASSUL Lyon, puis signe à Tours pour deux ans."
