nom_joueur,numero,poste,taille,poids,age,date_naissance,club_actuel,club_precedent,nationalite,selections,points_totaux,matches_joues,victoires,defaites,ratio_victoires,derniere_selection,competitions,titres,distinctions,bio_courte,url_cv_image,url_page_principale,urls_stats,date_extraction
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #1,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,2025-06-16T16:22:09.532127
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #2,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=0,2025-06-16T16:22:18.733293
Jean Patry,4,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #4,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1219&pos=3,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1219&pos=3,2025-06-16T16:23:04.062478
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #6,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1220&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1220&pos=0,2025-06-16T16:23:06.515874
Earvin Ngapeth,9,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #9,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/9%20Earvin%20Ngapeth.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1221&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1221&pos=0,2025-06-16T16:23:15.505523
Kevin Tillie,7,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #7,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1222&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1222&pos=0,2025-06-16T16:23:25.000231
Antoine Brizard,11,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #11,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/11%20Antoine%20Brizard.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1223&pos=1,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1223&pos=1,2025-06-16T16:24:15.590232
Nicolas Le Goff,14,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #14,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/14%20Nicolas%20Le%20Goff.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1224&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1224&pos=0,2025-06-16T16:24:22.497849
Trevor Clevenot,17,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #17,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1225&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1225&pos=0,2025-06-16T16:24:35.267218
Yacine Louati,19,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #19,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/19%20Yacine%20Louati.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1226&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1226&pos=0,2025-06-16T16:24:44.855172
Théo Faure,21,,,,,,,,France,,,,,,,,Équipe de France,,,Joueur de l'équipe de France masculine #21,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1227&pos=0,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1227&pos=0,2025-06-16T16:24:57.585974
