nom_joueur,numero,poste,taille,poids,age,naissance,club,selections,matches_totaux,points_marques,victoires,url_cv_image,completeness_score,raw_ocr_text,extraction_method,date_extraction
Kevin Tillie,7,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,25.0,,Basic,2025-06-13T16:50:43.631980
Kevin Tillie,7,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,25.0,,Basic,2025-06-13T16:50:44.633563
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,Basic,2025-06-13T16:50:45.636044
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,Basic,2025-06-13T16:50:46.638733
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,Basic,2025-06-13T16:50:47.643225
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,Basic,2025-06-13T16:50:48.646617
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,Basic,2025-06-13T16:50:49.648752
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,Basic,2025-06-13T16:50:50.651321
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,Basic,2025-06-13T16:50:51.654027
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,Basic,2025-06-13T16:50:52.655763
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,Basic,2025-06-13T16:50:53.660392
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,Basic,2025-06-13T16:50:54.663709
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,Basic,2025-06-13T16:50:55.667456
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,Basic,2025-06-13T16:50:56.673075
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,Basic,2025-06-13T16:50:57.679976
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,Basic,2025-06-13T16:50:58.684316
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,Basic,2025-06-13T16:50:59.689823
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,Basic,2025-06-13T16:51:00.693142
Yacine Louati,19,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/19%20Yacine%20Louati.png,25.0,,Basic,2025-06-13T16:51:01.695364
